DateTime,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose
53:00.0,1.29318,1.29328,1.29318,1.29325,1.29353,1.29353,1.29343,1.29343
54:00.0,1.29325,1.29328,1.29325,1.29328,1.29343,1.29343,1.29343,1.29343
55:00.0,1.29328,1.29433,1.29324,1.29399,1.29343,1.29427,1.29332,1.29426
56:00.0,1.29399,1.29416,1.29355,1.29373,1.29426,1.29426,1.29372,1.29403
57:00.0,1.29373,1.29406,1.29372,1.29404,1.29403,1.29427,1.29402,1.29423
58:00.0,1.29404,1.2941,1.29384,1.29384,1.29423,1.2943,1.29402,1.29402
59:00.0,1.29384,1.29394,1.29285,1.29288,1.29402,1.29402,1.29374,1.29377
00:00.0,1.29288,1.29374,1.29267,1.29294,1.29377,1.29408,1.29377,1.29387
01:00.0,1.29294,1.29348,1.29262,1.29338,1.29387,1.29396,1.29297,1.29367
02:00.0,1.29338,1.29341,1.29337,1.2934,1.29367,1.29367,1.29367,1.29367
03:00.0,1.2934,1.2934,1.29327,1.29331,1.29367,1.29367,1.29357,1.29358
04:00.0,1.29331,1.29359,1.29316,1.29352,1.29358,1.29365,1.2934,1.2936
05:00.0,1.29352,1.29427,1.29349,1.29385,1.2936,1.29437,1.2936,1.29416
06:00.0,1.29385,1.29443,1.29382,1.29423,1.29416,1.29461,1.29415,1.29453
07:00.0,1.29423,1.29426,1.29385,1.29388,1.29453,1.29453,1.29418,1.29418
08:00.0,1.29388,1.29401,1.29385,1.294,1.29418,1.29431,1.29418,1.2943
09:00.0,1.294,1.29433,1.29392,1.29413,1.2943,1.29458,1.29424,1.29443
10:00.0,1.29413,1.2944,1.294,1.29418,1.29443,1.29454,1.2943,1.29448
11:00.0,1.29418,1.2944,1.29416,1.29436,1.29448,1.29463,1.29446,1.29447
12:00.0,1.29436,1.29447,1.29394,1.29426,1.29447,1.29465,1.29424,1.29454
13:00.0,1.29426,1.29442,1.29424,1.29426,1.29454,1.29458,1.29435,1.29436
14:00.0,1.29426,1.2944,1.29395,1.29398,1.29436,1.2945,1.29425,1.29428
15:00.0,1.29398,1.29412,1.29392,1.29412,1.29428,1.29443,1.29427,1.29433
16:00.0,1.29412,1.29427,1.29412,1.29417,1.29433,1.29444,1.29433,1.29443
